StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ID,Gender,Task t1,Task t2,Task e1,Task e2,Task Ratings_1,Task Ratings_2,Task Sentiment,block2progress,random
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,School ID,Gender (Optional),Task 1 Time (seconds),Task 2 Time (seconds),Task 1 Error #,Task 2 Error #,Rate the task difficulties - Task 1 Rating,Rate the task difficulties - Task 2 Rating,Describe why one task felt/seemed more difficult than the other?,block2progress,random
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""block2progress""}","{""ImportId"":""random""}"
2024-01-31 15:34:04,2024-01-31 15:36:59,0,100,174,1,2024-01-31 15:37:00,R_64I2RiYFp0Wo1SA,anonymous,EN,015869477,1,74,38,3,0,4,2,"I felt that the first task was more difficult because it required me to think before i started to write, the other one didn't make me do that it became almost automatic",,2
2024-01-31 15:34:12,2024-01-31 15:37:09,0,100,176,1,2024-01-31 15:37:10,R_6G0AYCVxQYfleRz,anonymous,EN,014391117,1,69,35,1,1,4,1,It does require more thought in writing each character.,,1
2024-01-31 15:29:59,2024-01-31 15:37:35,0,100,456,1,2024-01-31 15:37:36,R_7RTnsMaNmIZtGLf,anonymous,EN,015128607,,59.19,34.25,1,1,4,1,"For task 1, there were too many things to keep track of. Keeping track of the letters and what number I was on kept getting me stuck. Task 2 was simple, only needing to focus on one task at a time.",,2
2024-01-31 15:34:17,2024-01-31 15:37:42,0,100,204,1,2024-01-31 15:37:42,R_6pVRM5ptdefrRrJ,anonymous,EN,14496066,1,60.92,31.40,0,0,4,1,"I had to take a moment to think and realize where I was in the sentence and numerical order for task 1.  Whereas task 2 felt fluid and natural.  ",,1
2024-01-31 15:35:27,2024-01-31 15:38:59,0,100,212,1,2024-01-31 15:39:00,R_5lsfL3AgNbDVDy9,anonymous,EN,015292602,1,54.03,35.29,2,0,4,1,Task 1 felt more difficult because of the switching between the letters and numbers while in Task 2 there was no switching and was more focus on writing each line.,,1
2024-01-31 15:35:48,2024-01-31 15:40:04,0,100,256,1,2024-01-31 15:40:04,R_3eh7e0rB34cRN5z,anonymous,EN,015667782,2,48,31,0,0,3,2,Task 1 felt more difficult because you constantly had to keep switching from one row to the other.,,2
2024-01-31 15:34:10,2024-01-31 15:40:15,0,100,364,1,2024-01-31 15:40:15,R_6ysDBYZqKc1lwl8,anonymous,EN,016933566,,56.79,33.17,0,0,4,2,Task 1 seemed more difficult because my mind was preoccupied with 2 things at once while task 2 allowed me to do one task at a time which was easier.,,1
2024-01-31 15:27:22,2024-01-31 15:40:15,0,100,773,1,2024-01-31 15:40:16,R_5HuUQCWdLmxdXLk,anonymous,EN,017221035,1,59.23,33.63,1,0,2,1,Task 1 requires my hand to travel more and something thinking at times when starting or ending a word.,,2
2024-01-31 15:38:49,2024-01-31 15:42:51,0,100,241,1,2024-01-31 15:42:52,R_3QhvsFFtwKLlskN,anonymous,EN,017156178,1,48,26,0,0,4,1,"Task 1 was more difficult because you had to remember to properly spell each word in the phrase, and still remembering the number you were on.",,1
2024-01-31 15:27:18,2024-01-31 15:42:56,0,100,938,1,2024-01-31 15:42:57,R_3RdwyGvnenuLyU3,anonymous,EN,014637350,1,95,38,1,0,2,1,Task one was more difficult because of the continuous task switching.,,2
2024-01-31 15:26:59,2024-01-31 15:43:05,0,100,966,1,2024-01-31 15:43:06,R_5i62tfmZxS980pz,anonymous,EN,013717782,2,69,34,3,2,4,1,It was harder for me to focus on both tasks at the same time. It felt very natural and easy when I did one task at a time.,,1
2024-01-31 15:40:57,2024-01-31 15:44:40,0,100,222,1,2024-01-31 15:44:40,R_1qWzxasZUz0DZ68,anonymous,EN,015727049,1,47,27,2,0,3,1,"Task 1 felt more difficult than task 2 because I had to juggle between letters and numbers while also completing the sentence. Task 1 was more complex than Task 2. Task 2 was a straight forward task. ",,2
2024-01-31 15:41:35,2024-01-31 15:45:22,0,100,227,1,2024-01-31 15:45:23,R_7ktT0KpNkLmom42,anonymous,EN,016199469,1,55,35,0,2,4,2,"Task 1 seemed more difficult than task 2 because switching back and forth from writing to numbering would overload me and often times have me scrambling around. ",,1
2024-01-31 15:40:39,2024-01-31 15:45:23,0,100,284,1,2024-01-31 15:45:24,R_6jfTgVME2GKxK1g,anonymous,EN,015466464,1,50,27,1,0,3,1,"Task 2 was very easy because that is just the natural way of writing out words and numbers.
For Task 1 I kept losing track on where I was for writing out the sentence. I also just wanted to finish the words. ",,2
2024-01-31 15:46:06,2024-01-31 15:48:09,0,100,122,1,2024-01-31 15:48:09,R_54nGtFq0Cjmycg1,anonymous,EN,013052078,1,61.46,29.23,1,1,4,3,The first task felt more difficult because you are interchanging between writing a letter and a number on top of trying to be as fast as possible and be as neat as possible without having to make any errors.,,2
2024-01-31 15:28:05,2024-01-31 15:48:27,0,100,1222,1,2024-01-31 15:48:28,R_5FQE1qdcE8kFuUe,anonymous,EN,015650258,,57.51,28.21,0,0,5,2,I wanted to write more of the letters and/or numbers at once rather than interchanging. I also lost track of what letters I had next in the phrase.,,2
2024-01-31 15:27:46,2024-01-31 15:49:02,0,100,1276,1,2024-01-31 15:49:03,R_6ZeHLqBxwdeSxVv,anonymous,EN,014573962,1,71.23,35.22,2,0,4,3,"During task 1, I had to go back and forth between my thought processes. Recalling and writing alternating two different patterns was difficult.",,1
2024-01-31 15:41:23,2024-01-31 15:49:37,0,100,494,1,2024-01-31 15:49:37,R_3hB8qc0p8jgMKOd,anonymous,EN,015931708,2,65,36,1,0,4,2,2 was writing things one at a time which felt for efficient than the first.,,2
2024-01-31 15:48:04,2024-01-31 15:49:41,0,100,97,1,2024-01-31 15:49:42,R_1V29kpGbPSaRdfP,anonymous,EN,016305029,1,53.72,29.54,0,0,3,1,"Task 1 felt difficult than the other because I had to multitask by writing a letter and a number.  ",,1
2024-01-31 15:45:40,2024-01-31 15:49:45,0,100,245,1,2024-01-31 15:49:46,R_5QLcCF2yzIwViTK,anonymous,EN,015370797,2,71,33,0,0,4,1,Task One felt difficult for me because I felt I was not able to keep track of the letters and numbers fast enough. I had to think about it sometimes.,,2
2024-01-31 15:48:28,2024-01-31 15:49:53,0,100,84,1,2024-01-31 15:49:53,R_7U959kq3OOiUvz0,anonymous,EN,016223363,1,44.27,26.54,0,1,4,2,The first task require good rymthm and having the next character in your mind as your writing.,,2
2024-01-31 15:47:28,2024-01-31 15:49:57,0,100,148,1,2024-01-31 15:49:58,R_52FGLuokZ6pQQ2F,anonymous,EN,015360202,1,66,33,0,0,4,1,Task 1 felt more difficult than the other because it was distracting due to going to different positions and going back and forth from the letters and numbers row.,,1
